date,newCases,cumCases,newDeaths,cumDeaths
29/11/2021,42583,10189059,10,144809
28/11/2021,37681,10146915,16,144799
27/11/2021,39567,10110408,43,144783
26/11/2021,50091,10070841,103,144740
25/11/2021,47240,10021497,93,144637
24/11/2021,43676,9974843,126,144544
23/11/2021,42484,9932408,105,144418
22/11/2021,44917,9889926,97,144313
21/11/2021,40004,9845492,121,144216
20/11/2021,40941,9806034,119,144095
19/11/2021,44242,9766153,127,143976
18/11/2021,46807,9721916,122,143849
17/11/2021,38263,9675058,149,143727
16/11/2021,37243,9637190,164,143578
15/11/2021,39705,9600369,122,143414
14/11/2021,36517,9561099,133,143292
13/11/2021,38351,9524971,144,143159
12/11/2021,40375,9487302,143,143015
11/11/2021,42408,9448402,149,142872
10/11/2021,39329,9406001,145,142723
09/11/2021,33117,9366676,153,142578
08/11/2021,32322,9333891,164,142425
07/11/2021,30305,9301909,166,142261
06/11/2021,30693,9272066,155,142095
05/11/2021,34029,9241916,156,141940
04/11/2021,37269,9208219,164,141784
03/11/2021,41299,9171660,157,141620
02/11/2021,33865,9130857,175,141463
01/11/2021,40077,9097311,182,141288
31/10/2021,38009,9057629,167,141106
30/10/2021,41278,9019962,170,140939
29/10/2021,43467,8979236,191,140769
28/10/2021,39842,8936155,158,140578
27/10/2021,43941,8897149,162,140420
26/10/2021,40954,8853227,130,140258
25/10/2021,36567,8809774,153,140128
24/10/2021,39962,8773674,163,139975
23/10/2021,44985,8734934,134,139812
22/10/2021,49298,8689949,155,139678
21/10/2021,52009,8641221,152,139523
20/10/2021,49139,8589737,128,139371
19/10/2021,43738,8541192,127,139243
18/10/2021,49156,8497868,127,139116
17/10/2021,45140,8449165,132,138989
16/10/2021,43423,8404469,137,138857
15/10/2021,44932,8361651,149,138720
14/10/2021,45066,8317439,120,138571
13/10/2021,42776,8272883,113,138451
12/10/2021,38520,8231437,122,138338
11/10/2021,40224,8193769,96,138216
10/10/2021,34574,8154306,115,138120
09/10/2021,34950,8120713,114,138005
08/10/2021,41765,8087005,121,137891
07/10/2021,40701,8046390,101,137770
06/10/2021,39851,8006660,119,137669
05/10/2021,33869,7967985,101,137550
04/10/2021,35077,7934936,96,137449
03/10/2021,30439,7900680,109,137353
02/10/2021,30301,7871014,129,137244
01/10/2021,35577,7841625,113,137115
30/09/2021,36480,7807036,124,137002
29/09/2021,36722,7771294,105,136878
28/09/2021,34526,7736235,114,136773
27/09/2021,37960,7701715,97,136659
26/09/2021,32417,7664230,124,136562
25/09/2021,32468,7632353,124,136438
24/09/2021,35623,7601487,137,136314
23/09/2021,36710,7565867,146,136177
22/09/2021,34460,7530103,120,136031
21/09/2021,31564,7496543,134,135911
20/09/2021,36100,7465448,126,135777
19/09/2021,29612,7429746,122,135651
18/09/2021,30144,7400739,171,135529
17/09/2021,32651,7371301,150,135358
16/09/2021,26911,7339009,142,135208
15/09/2021,30597,7312683,154,135066
14/09/2021,26628,7282810,109,134912
13/09/2021,30825,7256559,140,134803
12/09/2021,29173,7226276,137,134663
11/09/2021,29547,7197662,144,134526
10/09/2021,37622,7168806,162,134382
09/09/2021,38013,7132072,139,134220
08/09/2021,38975,7094592,156,134081
07/09/2021,37489,7056106,138,133925
06/09/2021,41192,7018927,156,133787
05/09/2021,37011,6978126,133,133631
04/09/2021,37578,6941611,149,133498
03/09/2021,42076,6904969,127,133349
02/09/2021,38154,6862904,118,133222
01/09/2021,35693,6825074,116,133104
31/08/2021,32181,6789581,106,132988
30/08/2021,26476,6757650,128,132882
29/08/2021,33196,6731423,124,132754
28/08/2021,32406,6698486,127,132630
27/08/2021,38046,6666399,116,132503
26/08/2021,38281,6628709,101,132387
25/08/2021,35847,6590747,113,132286
24/08/2021,30838,6555200,114,132173
23/08/2021,31914,6524581,116,132059
22/08/2021,32253,6492906,104,131943
21/08/2021,32058,6460930,117,131839
20/08/2021,37314,6429147,108,131722
19/08/2021,36572,6392160,98,131614
18/08/2021,33904,6355887,108,131516
17/08/2021,26852,6322241,78,131408
16/08/2021,28438,6295613,85,131330
15/08/2021,26750,6267437,93,131245
14/08/2021,29520,6241011,104,131152
13/08/2021,32700,6211868,106,131048
12/08/2021,33074,6179506,88,130942
11/08/2021,29612,6146800,81,130854
10/08/2021,23510,6117540,79,130773
09/08/2021,25161,6094243,79,130694
08/08/2021,27429,6069362,95,130615
07/08/2021,28612,6042252,93,130520
