areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,newCasesByPublishDate,newDeaths28DaysByPublishDate
K02000001,United Kingdom,overview,2022-05-20,22238713,177977,6338,87
K02000001,United Kingdom,overview,2022-05-19,22232377,177890,12208,169
K02000001,United Kingdom,overview,2022-05-18,22220178,177721,7791,126
K02000001,United Kingdom,overview,2022-05-17,22212395,177595,8603,185
K02000001,United Kingdom,overview,2022-05-16,22203799,177410,22337,153
K02000001,United Kingdom,overview,2022-05-15,22181462,177257,173,0
K02000001,United Kingdom,overview,2022-05-14,22181289,177257,1082,5
K02000001,United Kingdom,overview,2022-05-13,22180207,177252,6592,151
K02000001,United Kingdom,overview,2022-05-12,22173620,177101,14564,186
K02000001,United Kingdom,overview,2022-05-11,22158820,176915,8135,207
K02000001,United Kingdom,overview,2022-05-10,22150700,176708,10413,284
K02000001,United Kingdom,overview,2022-05-09,22140287,176424,26280,212
K02000001,United Kingdom,overview,2022-05-08,22114034,176212,0,0
K02000001,United Kingdom,overview,2022-05-07,22114034,176212,0,0
K02000001,United Kingdom,overview,2022-05-06,22114034,176212,11076,228
K02000001,United Kingdom,overview,2022-05-05,22102983,175984,12487,438
K02000001,United Kingdom,overview,2022-05-04,22090523,175546,16611,227
K02000001,United Kingdom,overview,2022-05-03,22073858,175319,35635,407
K02000001,United Kingdom,overview,2022-05-02,22038340,174912,0,0
K02000001,United Kingdom,overview,2022-05-01,22038340,174912,0,0
K02000001,United Kingdom,overview,2022-04-30,22038340,174912,0,0
K02000001,United Kingdom,overview,2022-04-29,22038340,174912,12421,216
K02000001,United Kingdom,overview,2022-04-28,22025925,174696,14030,248
K02000001,United Kingdom,overview,2022-04-27,22011920,174448,17224,304
K02000001,United Kingdom,overview,2022-04-26,21994809,174144,16579,451
K02000001,United Kingdom,overview,2022-04-25,21978198,173693,45077,341
K02000001,United Kingdom,overview,2022-04-24,21933206,173352,0,0
K02000001,United Kingdom,overview,2022-04-23,21933206,173352,0,0
K02000001,United Kingdom,overview,2022-04-22,21933206,173352,19795,284
K02000001,United Kingdom,overview,2022-04-21,21913483,173068,23456,682
K02000001,United Kingdom,overview,2022-04-20,21890037,172386,26147,508
K02000001,United Kingdom,overview,2022-04-19,21863944,171878,116227,482
K02000001,United Kingdom,overview,2022-04-18,21747638,171396,0,0
K02000001,United Kingdom,overview,2022-04-17,21747638,171396,0,0
K02000001,United Kingdom,overview,2022-04-16,21747638,171396,0,0
K02000001,United Kingdom,overview,2022-04-15,21747638,171396,0,0
K02000001,United Kingdom,overview,2022-04-14,21747638,171396,32608,350
K02000001,United Kingdom,overview,2022-04-13,21715116,171046,35926,651
K02000001,United Kingdom,overview,2022-04-12,21679280,170395,37819,288
K02000001,United Kingdom,overview,2022-04-11,21640901,170107,91201,348
K02000001,United Kingdom,overview,2022-04-10,21549830,169759,0,0
K02000001,United Kingdom,overview,2022-04-09,21549830,169759,0,0
K02000001,United Kingdom,overview,2022-04-08,21549830,169759,41384,347
K02000001,United Kingdom,overview,2022-04-07,21508546,169412,47126,317
K02000001,United Kingdom,overview,2022-04-06,21461556,169095,51253,233
K02000001,United Kingdom,overview,2022-04-05,21410305,166148,50202,368
K02000001,United Kingdom,overview,2022-04-04,21359681,165780,143382,210
K02000001,United Kingdom,overview,2022-04-03,21216874,165570,0,0
K02000001,United Kingdom,overview,2022-04-02,21216874,165570,0,0
K02000001,United Kingdom,overview,2022-04-01,21216874,165570,69811,191
K02000001,United Kingdom,overview,2022-03-31,21147425,165379,74720,192
K02000001,United Kingdom,overview,2022-03-30,21073009,165187,87188,213
K02000001,United Kingdom,overview,2022-03-29,20986171,164974,80830,303
K02000001,United Kingdom,overview,2022-03-28,20905515,164671,215001,217
K02000001,United Kingdom,overview,2022-03-27,20691123,164454,0,0
K02000001,United Kingdom,overview,2022-03-26,20691123,164454,0,0
K02000001,United Kingdom,overview,2022-03-25,20691123,164454,77509,172
K02000001,United Kingdom,overview,2022-03-24,20613817,164282,98204,165
K02000001,United Kingdom,overview,2022-03-23,20515998,164123,102483,194
K02000001,United Kingdom,overview,2022-03-22,20413731,163929,94524,250
K02000001,United Kingdom,overview,2022-03-21,20319434,163679,226524,169
K02000001,United Kingdom,overview,2022-03-20,20093762,163511,0,0
K02000001,United Kingdom,overview,2022-03-19,20093762,163511,0,0
K02000001,United Kingdom,overview,2022-03-18,20093762,163511,90349,126
K02000001,United Kingdom,overview,2022-03-17,20001627,163386,89717,138
K02000001,United Kingdom,overview,2022-03-16,19911155,163248,91345,153
K02000001,United Kingdom,overview,2022-03-15,19820181,163095,109802,200
K02000001,United Kingdom,overview,2022-03-14,19700952,162873,170985,135
K02000001,United Kingdom,overview,2022-03-13,19530485,162738,0,0
K02000001,United Kingdom,overview,2022-03-12,19530485,162738,0,0
K02000001,United Kingdom,overview,2022-03-11,19530485,162738,72898,114
K02000001,United Kingdom,overview,2022-03-10,19457976,162624,71259,142
K02000001,United Kingdom,overview,2022-03-09,19373884,162482,67159,123
K02000001,United Kingdom,overview,2022-03-08,19307014,162359,61900,212
K02000001,United Kingdom,overview,2022-03-07,19245301,162147,126604,139
K02000001,United Kingdom,overview,2022-03-06,19119181,162008,0,0
K02000001,United Kingdom,overview,2022-03-05,19119181,162008,0,0
K02000001,United Kingdom,overview,2022-03-04,19119181,162008,44740,110
K02000001,United Kingdom,overview,2022-03-03,19074696,161898,45656,194
K02000001,United Kingdom,overview,2022-03-02,19029321,161704,44017,74
K02000001,United Kingdom,overview,2022-03-01,18985568,161630,39000,194
K02000001,United Kingdom,overview,2022-02-28,18886701,161361,82451,138
K02000001,United Kingdom,overview,2022-02-27,18804765,161224,0,0
K02000001,United Kingdom,overview,2022-02-26,18804765,161224,0,0
K02000001,United Kingdom,overview,2022-02-25,18804765,161224,31933,120
K02000001,United Kingdom,overview,2022-02-24,18773164,161104,38933,125
K02000001,United Kingdom,overview,2022-02-23,18734683,160979,39656,164
K02000001,United Kingdom,overview,2022-02-22,18695448,160815,41130,205
K02000001,United Kingdom,overview,2022-02-21,18654572,160610,38409,15
K02000001,United Kingdom,overview,2022-02-20,18616433,160595,31170,74
K02000001,United Kingdom,overview,2022-02-19,18585423,160521,39693,142
K02000001,United Kingdom,overview,2022-02-18,18546205,160379,47685,158
K02000001,United Kingdom,overview,2022-02-17,18499058,160221,51899,183
K02000001,United Kingdom,overview,2022-02-16,18447706,160038,54218,199
K02000001,United Kingdom,overview,2022-02-15,18393951,159839,46186,234
K02000001,United Kingdom,overview,2022-02-14,18348029,159605,41648,35
K02000001,United Kingdom,overview,2022-02-13,18306704,159570,41270,52
K02000001,United Kingdom,overview,2022-02-12,18265918,159518,46025,167
K02000001,United Kingdom,overview,2022-02-11,18220515,159351,58899,193
K02000001,United Kingdom,overview,2022-02-10,18162199,159158,66638,206
K02000001,United Kingdom,overview,2022-02-09,18000119,158953,68214,276
K02000001,United Kingdom,overview,2022-02-08,17932803,158677,66183,314
K02000001,United Kingdom,overview,2022-02-07,17866632,158363,57623,45
K02000001,United Kingdom,overview,2022-02-06,17809459,158318,57337,75
K02000001,United Kingdom,overview,2022-02-05,17752892,158243,63493,259
K02000001,United Kingdom,overview,2022-02-04,17689885,157984,84053,254
K02000001,United Kingdom,overview,2022-02-03,17607832,157730,88171,303
K02000001,United Kingdom,overview,2022-02-02,17519708,157427,92594,552
K02000001,United Kingdom,overview,2022-02-01,17428345,156875,112458,219
K02000001,United Kingdom,overview,2022-01-31,17315893,155754,92368,51
K02000001,United Kingdom,overview,2022-01-30,16478467,155704,69007,91
K02000001,United Kingdom,overview,2022-01-29,16409459,155613,76069,296
K02000001,United Kingdom,overview,2022-01-28,16333980,155317,89176,277
K02000001,United Kingdom,overview,2022-01-27,16245474,155040,96871,338
K02000001,United Kingdom,overview,2022-01-26,16149319,154702,102292,346
K02000001,United Kingdom,overview,2022-01-25,16047716,154356,94326,439
K02000001,United Kingdom,overview,2022-01-24,15953685,153916,88447,56
K02000001,United Kingdom,overview,2022-01-23,15866316,153862,78317,75
K02000001,United Kingdom,overview,2022-01-22,15787937,153787,80263,297
K02000001,United Kingdom,overview,2022-01-21,15709059,153490,95787,288
K02000001,United Kingdom,overview,2022-01-20,15613283,153202,107364,330
K02000001,United Kingdom,overview,2022-01-19,15506750,152872,108069,359
